@relation classification-training-weka.filters.unsupervised.attribute.Remove-R1

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute Classe {C,N,V}

@data
11,1.000056,1.000078,0.999788,0.99981,0.999636,0.999658,1.000398,1.00042,1.000398,1.00042,-0.271046,N
11,1.000163,1.000136,1.000404,1.000377,0.999794,0.999767,1.000556,1.000529,0.999946,0.99992,-0.450397,C
11,0.999723,0.999668,1.000058,1.000003,0.999601,0.999546,1.000058,1.000003,0.999601,0.999546,-0.521645,C
11,0.999816,0.999807,0.999579,0.99957,0.999579,0.99957,1.000036,1.000027,1.000036,1.000027,-0.488478,C
11,1.000532,1.000525,1.000047,1.00004,0.999894,0.999888,1.000809,1.000802,1.000199,1.000193,0.493036,C
11,0.999692,0.999806,0.999082,0.999196,0.999082,0.999196,1.000149,1.000263,0.999997,1.000111,0.524975,C
11,1.000392,1.000446,1.00013,1.000185,0.999825,0.99988,1.00074,1.000795,1.00074,1.000795,1.099879,N
12,1.001083,1.001008,1.00075,1.000675,1.000598,1.000523,1.00136,1.001285,1.001207,1.001133,2.87987,V
12,1.001195,1.001063,1.000879,1.000747,1.000879,1.000747,1.001489,1.001357,1.001489,1.001357,1.336965,V
12,1.001267,1.001224,1.001251,1.001208,1.000793,1.000751,1.001555,1.001513,1.000946,1.000903,0.196985,V
12,1.000376,1.00008,1.000628,1.000333,1.000019,0.999723,1.000933,1.000637,1.000019,0.999723,0.307543,N
12,0.999453,0.999505,0.999557,0.999609,0.999253,0.999305,0.999557,0.999609,0.999405,0.999457,-0.597808,V
12,0.999463,0.999589,0.999507,0.999632,0.999202,0.999328,0.999811,0.999937,0.999811,0.999937,-0.412315,V
12,0.999838,1.000053,0.999978,1.000193,0.999674,0.999888,0.999978,1.000193,0.999826,1.000041,-0.89263,V
12,0.99967,0.999744,1.000035,1.00011,0.999426,0.9995,1.000035,1.00011,0.999578,0.999652,-0.527787,V
12,0.999726,0.999731,0.999678,0.999683,0.999526,0.999531,0.999983,0.999988,0.99983,0.999835,-0.376691,V
12,1.000222,1.000267,0.999862,0.999908,0.999862,0.999908,1.000472,1.000517,1.000319,1.000365,-0.117493,V
